it: 308, grad_norm: 43.49535853921637, cross_entropy: 165.26828878575833
it: 309, grad_norm: 43.47578815614665, cross_entropy: 165.24937458079984
it: 310, grad_norm: 43.45624606399459, cross_entropy: 165.23047738836163
it: 311, grad_norm: 43.43673222591204, cross_entropy: 165.21159717621174
it: 312, grad_norm: 43.417246605066985, cross_entropy: 165.19273391218331
it: 313, grad_norm: 43.39778916464392, cross_entropy: 165.17388756417444
it: 314, grad_norm: 43.37835986784364, cross_entropy: 165.15505810014824
it: 315, grad_norm: 43.35895867788361, cross_entropy: 165.13624548813257
it: 316, grad_norm: 43.33958555799789, cross_entropy: 165.11744969622
it: 317, grad_norm: 43.320240471437295, cross_entropy: 165.0986706925676
it: 318, grad_norm: 43.300923381469495, cross_entropy: 165.07990844539688
it: 319, grad_norm: 43.281634251379124, cross_entropy: 165.0611629229938
it: 320, grad_norm: 43.26237304446782, cross_entropy: 165.04243409370832
it: 321, grad_norm: 43.24313972405444, cross_entropy: 165.02372192595462
it: 322, grad_norm: 43.22393425347501, cross_entropy: 165.0050263882108
it: 323, grad_norm: 43.20475659608292, cross_entropy: 164.98634744901887
it: 324, grad_norm: 43.185606715249016, cross_entropy: 164.96768507698442
it: 325, grad_norm: 43.16648457436164, cross_entropy: 164.9490392407768
it: 326, grad_norm: 43.147390136826786, cross_entropy: 164.9304099091288
it: 327, grad_norm: 43.128323366068166, cross_entropy: 164.9117970508366
it: 328, grad_norm: 43.109284225527325, cross_entropy: 164.89320063475958
it: 329, grad_norm: 43.09027267866369, cross_entropy: 164.8746206298203
it: 330, grad_norm: 43.071288688954695, cross_entropy: 164.8560570050044
it: 331, grad_norm: 43.05233221989592, cross_entropy: 164.8375097293604
it: 332, grad_norm: 43.03340323500112, cross_entropy: 164.81897877199953
it: 333, grad_norm: 43.01450169780232, cross_entropy: 164.8004641020957
it: 334, grad_norm: 42.995627571849916, cross_entropy: 164.78196568888555
it: 335, grad_norm: 42.97678082071281, cross_entropy: 164.76348350166802
it: 336, grad_norm: 42.95796140797848, cross_entropy: 164.74501750980437
it: 337, grad_norm: 42.939169297253024, cross_entropy: 164.7265676827181
it: 338, grad_norm: 42.920404452161314, cross_entropy: 164.70813398989486
it: 339, grad_norm: 42.90166683634705, cross_entropy: 164.68971640088216
it: 340, grad_norm: 42.882956413472904, cross_entropy: 164.67131488528952
it: 341, grad_norm: 42.864273147220494, cross_entropy: 164.65292941278807
