it: 144, grad_norm: 2.813807372971696, cross_entropy: 25.355267678378247
it: 145, grad_norm: 2.2425555347641417, cross_entropy: 25.24377497150235
it: 146, grad_norm: 2.7775042726667367, cross_entropy: 25.133887702236727
it: 147, grad_norm: 2.2138136470618885, cross_entropy: 25.0244725771906
it: 148, grad_norm: 2.7423273822755156, cross_entropy: 24.916602915509173
it: 149, grad_norm: 2.1862071467588544, cross_entropy: 24.809200151234982
it: 150, grad_norm: 2.7068234254935915, cross_entropy: 24.70332816808552
it: 151, grad_norm: 2.158582501018179, cross_entropy: 24.597915118987967
it: 152, grad_norm: 2.673386536111895, cross_entropy: 24.493959791470008
it: 153, grad_norm: 2.131425116026712, cross_entropy: 24.390447110381217
it: 154, grad_norm: 2.64039977157515, cross_entropy: 24.28835754508003
it: 155, grad_norm: 2.1048486249418015, cross_entropy: 24.18670319180433
it: 156, grad_norm: 2.6077193606989852, cross_entropy: 24.086436891715362
it: 157, grad_norm: 2.0785916634765558, cross_entropy: 23.98660379728652
it: 158, grad_norm: 2.5762131169726343, cross_entropy: 23.888106365231934
it: 159, grad_norm: 2.0528912996809763, cross_entropy: 23.790034310410004
it: 160, grad_norm: 2.5454201686981026, cross_entropy: 23.693266541201094
it: 161, grad_norm: 2.0275046841813533, cross_entropy: 23.596909303562434
it: 162, grad_norm: 2.514827428986005, cross_entropy: 23.501821156760673
it: 163, grad_norm: 2.0029990753036833, cross_entropy: 23.4071476567464
it: 164, grad_norm: 2.484312878660483, cross_entropy: 23.31372091041714
it: 165, grad_norm: 1.9790372943870305, cross_entropy: 23.22070401163026
it: 166, grad_norm: 2.454369086614013, cross_entropy: 23.12890381654902
it: 167, grad_norm: 1.955480344979965, cross_entropy: 23.03750358099652
it: 168, grad_norm: 2.4252016491242645, cross_entropy: 22.94728954387334
it: 169, grad_norm: 1.9324220354947557, cross_entropy: 22.857461355156232
it: 170, grad_norm: 2.396080113378112, cross_entropy: 22.768799810099203
it: 171, grad_norm: 1.9095057181210457, cross_entropy: 22.68051957937821
it: 172, grad_norm: 2.368064307883178, cross_entropy: 22.59335996817951
it: 173, grad_norm: 1.8870229784638923, cross_entropy: 22.506575908328177
it: 174, grad_norm: 2.3404689654501096, cross_entropy: 22.4208848065252
it: 175, grad_norm: 1.8651586449067077, cross_entropy: 22.335564381547556
it: 176, grad_norm: 2.312922551425922, cross_entropy: 22.251319190156543
it: 177, grad_norm: 1.843579944891743, cross_entropy: 22.16744029132612
it: 178, grad_norm: 2.286159272516215, cross_entropy: 22.0846025932139
it: 179, grad_norm: 1.8223681121724058, cross_entropy: 22.002124322274668
it: 180, grad_norm: 2.2599187730306745, cross_entropy: 21.920661484383395
it: 181, grad_norm: 1.8014933321424778, cross_entropy: 21.839550572022127
it: 182, grad_norm: 2.2339409841548057, cross_entropy: 21.759429886305135
it: 183, grad_norm: 1.781058029120915, cross_entropy: 21.679660487754774
it: 184, grad_norm: 2.2085864072479056, cross_entropy: 21.600855615859732
it: 185, grad_norm: 1.761003519846506, cross_entropy: 21.52239308279703
it: 186, grad_norm: 2.1835883035522867, cross_entropy: 21.44487601392706
it: 187, grad_norm: 1.741140693403284, cross_entropy: 21.36769322529686
it: 188, grad_norm: 2.1593224696083033, cross_entropy: 21.291427838855974
it: 189, grad_norm: 1.7214533452153, cross_entropy: 21.215488643480313
it: 190, grad_norm: 2.1356827447876396, cross_entropy: 21.140439531670207
it: 191, grad_norm: 1.7024804319007725, cross_entropy: 21.06571120142108
it: 192, grad_norm: 2.111609204474694, cross_entropy: 20.991870585136716
it: 193, grad_norm: 1.683626802910937, cross_entropy: 20.91834775687817
it: 194, grad_norm: 2.0883662923562594, cross_entropy: 20.84567932498804
it: 195, grad_norm: 1.6650739854132648, cross_entropy: 20.77332496330891
it: 196, grad_norm: 2.065741011676708, cross_entropy: 20.701802646747044
it: 197, grad_norm: 1.6468011772539568, cross_entropy: 20.63058575642361
it: 198, grad_norm: 2.04333342460153, cross_entropy: 20.560183611159474
it: 199, grad_norm: 1.628813319875799, cross_entropy: 20.490083748372058
it: 200, grad_norm: 2.0213658468184486, cross_entropy: 20.420777030648694
it: 201, grad_norm: 1.6111627487812306, cross_entropy: 20.35176862592872
it: 202, grad_norm: 1.9998323370798554, cross_entropy: 20.28353607793595
it: 203, grad_norm: 1.5938488022584045, cross_entropy: 20.21559417412458
it: 204, grad_norm: 1.9783511910780904, cross_entropy: 20.14841539919383
it: 205, grad_norm: 1.5769023114938172, cross_entropy: 20.081524871711213
it: 206, grad_norm: 1.9570634518581456, cross_entropy: 20.01538165142988
it: 207, grad_norm: 1.560421508619688, cross_entropy: 19.949524186767437
it: 208, grad_norm: 1.9361107218590135, cross_entropy: 19.88440358894176
it: 209, grad_norm: 1.5437928433120045, cross_entropy: 19.819557724863667
it: 210, grad_norm: 1.9160045446957428, cross_entropy: 19.755418863370494
it: 211, grad_norm: 1.5276905450219547, cross_entropy: 19.691551233909117
it: 212, grad_norm: 1.8958655052853406, cross_entropy: 19.628385981272185
it: 213, grad_norm: 1.5117771952911045, cross_entropy: 19.565484946981275
it: 214, grad_norm: 1.8762039230852032, cross_entropy: 19.50326994938588
it: 215, grad_norm: 1.495961083844916, cross_entropy: 19.441311862759296
it: 216, grad_norm: 1.8570572751932506, cross_entropy: 19.380020463297942
it: 217, grad_norm: 1.48038637814483, cross_entropy: 19.318981228612717
it: 218, grad_norm: 1.837957953257106, cross_entropy: 19.258594341759473
it: 219, grad_norm: 1.4652807156977454, cross_entropy: 19.198461394929616
it: 220, grad_norm: 1.8192259053601698, cross_entropy: 19.138970948789193
it: 221, grad_norm: 1.450285040211214, cross_entropy: 19.079724343617926
it: 222, grad_norm: 1.8006042644561107, cross_entropy: 19.021106422180104
it: 223, grad_norm: 1.435519216354715, cross_entropy: 18.9627326285013
it: 224, grad_norm: 1.782498251880515, cross_entropy: 18.904969499062588
it: 225, grad_norm: 1.4211666521209187, cross_entropy: 18.84744572836509
it: 226, grad_norm: 1.7643678423118374, cross_entropy: 18.790528624961603
it: 227, grad_norm: 1.4068314092856327, cross_entropy: 18.733845043526383
it: 228, grad_norm: 1.746750339744535, cross_entropy: 18.6777478147537
it: 229, grad_norm: 1.3929342113009742, cross_entropy: 18.621882321570407
it: 230, grad_norm: 1.7290122831969994, cross_entropy: 18.566598471624303
it: 231, grad_norm: 1.3792175613854618, cross_entropy: 18.511543935125744
it: 232, grad_norm: 1.71188416080493, cross_entropy: 18.457055780932677
it: 233, grad_norm: 1.365598023782878, cross_entropy: 18.402788408763858
it: 234, grad_norm: 1.694996216825338, cross_entropy: 18.3490753311979
it: 235, grad_norm: 1.3520733172876098, cross_entropy: 18.29558021127736
it: 236, grad_norm: 1.6786267655506526, cross_entropy: 18.242622177310324
it: 237, grad_norm: 1.3388490701121474, cross_entropy: 18.18987832845115
it: 238, grad_norm: 1.6624476554289975, cross_entropy: 18.137665024223256
it: 239, grad_norm: 1.3257651316779442, cross_entropy: 18.08565923659991
it: 240, grad_norm: 1.6464007974072041, cross_entropy: 18.034173782574808
it: 241, grad_norm: 1.3127843631275642, cross_entropy: 17.982894388776135
it: 242, grad_norm: 1.6309366632636244, cross_entropy: 17.932118830242075
it: 243, grad_norm: 1.300140456755841, cross_entropy: 17.88154423082124
it: 244, grad_norm: 1.6152277939381476, cross_entropy: 17.83147140661798
it: 245, grad_norm: 1.2877891832329544, cross_entropy: 17.781598879113826
it: 246, grad_norm: 1.5997373382321503, cross_entropy: 17.73221991803638
it: 247, grad_norm: 1.2754872162225745, cross_entropy: 17.683036432809793
it: 248, grad_norm: 1.584671224293004, cross_entropy: 17.6343323857392
it: 249, grad_norm: 1.263490956748766, cross_entropy: 17.585820570302424
it: 250, grad_norm: 1.5697789879692783, cross_entropy: 17.537784093535922
it: 251, grad_norm: 1.251698250986371, cross_entropy: 17.48993237953735
it: 252, grad_norm: 1.554676181302678, cross_entropy: 17.442552079821354
it: 253, grad_norm: 1.2399721474462009, cross_entropy: 17.395357544399886
it: 254, grad_norm: 1.540263962998168, cross_entropy: 17.348616535105165
it: 255, grad_norm: 1.2284667823431403, cross_entropy: 17.302056561581196
it: 256, grad_norm: 1.5259039678669883, cross_entropy: 17.255945107961963
it: 257, grad_norm: 1.2170280567058853, cross_entropy: 17.210011367616367
it: 258, grad_norm: 1.511911495950301, cross_entropy: 17.16451359185637
it: 259, grad_norm: 1.2058471377642856, cross_entropy: 17.119191049936433
it: 260, grad_norm: 1.4980228255620696, cross_entropy: 17.074299597694576
it: 261, grad_norm: 1.1948896122380486, cross_entropy: 17.02957915106524
it: 262, grad_norm: 1.4841415681104873, cross_entropy: 16.985285500725197
it: 263, grad_norm: 1.184192391849096, cross_entropy: 16.941160256436145
it: 264, grad_norm: 1.4703905556559755, cross_entropy: 16.897457667292752
it: 265, grad_norm: 1.1735023942034841, cross_entropy: 16.853918183850855
it: 266, grad_norm: 1.4568882639679994, cross_entropy: 16.810789763242617
it: 267, grad_norm: 1.1630640960810452, cross_entropy: 16.76782423948996
it: 268, grad_norm: 1.4436006558383954, cross_entropy: 16.72526362111148
it: 269, grad_norm: 1.1526524604263175, cross_entropy: 16.68286114944733
it: 270, grad_norm: 1.4305520215449188, cross_entropy: 16.640853073978985
it: 271, grad_norm: 1.1423770933092205, cross_entropy: 16.59900242103685
it: 272, grad_norm: 1.4179262286411902, cross_entropy: 16.557536543840193
it: 273, grad_norm: 1.1322056884619087, cross_entropy: 16.51622278456467
it: 274, grad_norm: 1.405267610778228, cross_entropy: 16.475287856775957
it: 275, grad_norm: 1.1222180715705456, cross_entropy: 16.434505846660183
it: 276, grad_norm: 1.3930298205890075, cross_entropy: 16.394094129954233
it: 277, grad_norm: 1.112407028413727, cross_entropy: 16.353829330335326
it: 278, grad_norm: 1.3806868892551034, cross_entropy: 16.313933128201548
it: 279, grad_norm: 1.1027183280371327, cross_entropy: 16.274182147461286
it: 280, grad_norm: 1.3687430722191658, cross_entropy: 16.234791806225942
it: 281, grad_norm: 1.0929241259820166, cross_entropy: 16.19554086812785
it: 282, grad_norm: 1.3571335542184682, cross_entropy: 16.156638053879206
it: 283, grad_norm: 1.0834693214090028, cross_entropy: 16.117874949633798
it: 284, grad_norm: 1.345464516007492, cross_entropy: 16.079459462251684
it: 285, grad_norm: 1.0740932504505818, cross_entropy: 16.041180234662676
it: 286, grad_norm: 1.3339445735314548, cross_entropy: 16.003241640299578
it: 287, grad_norm: 1.064919326469805, cross_entropy: 15.965438126337805
it: 288, grad_norm: 1.3225253767155327, cross_entropy: 15.927971158300643
it: 289, grad_norm: 1.055702733539819, cross_entropy: 15.89063629399923
it: 290, grad_norm: 1.3116017812575005, cross_entropy: 15.85362627878183
it: 291, grad_norm: 1.0467802262396502, cross_entropy: 15.816745092547698
it: 292, grad_norm: 1.3004044842944165, cross_entropy: 15.780190989901222
it: 293, grad_norm: 1.0380547409891525, cross_entropy: 15.743764296956396
it: 294, grad_norm: 1.2893872900728167, cross_entropy: 15.707661293762133
it: 295, grad_norm: 1.0292427295477495, cross_entropy: 15.671680726778769
it: 296, grad_norm: 1.2786927226278912, cross_entropy: 15.636013213193351
it: 297, grad_norm: 1.0205921349383653, cross_entropy: 15.600467686910072
it: 298, grad_norm: 1.2681800342577871, cross_entropy: 15.565230077670726
it: 299, grad_norm: 1.0120709167691893, cross_entropy: 15.530111478860398
it: 300, grad_norm: 1.2576950931151996, cross_entropy: 15.495297160320177
it: 301, grad_norm: 1.0037219685846828, cross_entropy: 15.460600568476249
it: 302, grad_norm: 1.2472733730972478, cross_entropy: 15.426204765291589
it: 303, grad_norm: 0.9954736097115396, cross_entropy: 15.391924618451021
it: 304, grad_norm: 1.237032779256246, cross_entropy: 15.357939970280722
